run,rc,stress,correlation
2.0,0.39,0.0967308000271,0.807694779985
3.0,0.39,0.101730508172,0.833402712026
4.0,0.39,0.10154675983,0.809729101625
5.0,0.39,0.100471319697,0.808659172244
1.0,0.4,0.103730663562,0.808161345452
2.0,0.4,0.101360764243,0.802808757464
3.0,0.4,0.10187343519,0.816536615332
4.0,0.4,0.103378588943,0.806323609904
5.0,0.4,0.100971927158,0.802493010452
1.0,0.41,0.105416951309,0.79641251396
2.0,0.41,0.100348085165,0.813295359155
3.0,0.41,0.101685743685,0.79484423644
4.0,0.41,0.105724351611,0.813886313565
5.0,0.41,0.101836087929,0.805625238142
1.0,0.42,0.105409830043,0.787099088673
2.0,0.42,0.102487587775,0.810268360006
3.0,0.42,0.103701010107,0.810275073012
4.0,0.42,0.104924035088,0.798759774482
5.0,0.42,0.108939199845,0.799640924403
1.0,0.43,0.101929973136,0.79915747457
2.0,0.43,0.102465747445,0.804784865615
3.0,0.43,0.107133009906,0.801328413123
4.0,0.43,0.106641868661,0.807637974788
5.0,0.43,0.109665286635,0.811151631473
1.0,0.44,0.105867898986,0.804469890397
2.0,0.44,0.106613058282,0.806938130195
3.0,0.44,0.107349012187,0.813064675453
4.0,0.44,0.104020304338,0.791178121835
5.0,0.44,0.105825415008,0.801912500898
1.0,0.45,0.109130103849,0.793133282457
2.0,0.45,0.104255566086,0.787240630424
3.0,0.45,0.108492462621,0.809092946612
4.0,0.45,0.103386975655,0.798501082628
5.0,0.45,0.106861511224,0.801379043786
1.0,0.46,0.102805348813,0.804560449121
2.0,0.46,0.103059321646,0.808580955885
3.0,0.46,0.101239234115,0.79354353722
4.0,0.46,0.107665081385,0.799087774916
5.0,0.46,0.108423621537,0.813369582484
1.0,0.47,0.11056362535,0.788544653074
2.0,0.47,0.104867019445,0.800581472447
3.0,0.47,0.103866353622,0.788332487917
4.0,0.47,0.102799838931,0.79978379793
5.0,0.47,0.103829514869,0.794354413715
1.0,0.48,0.104809128084,0.805934801293
2.0,0.48,0.10473285859,0.810718154789
3.0,0.48,0.101204035963,0.80506688971
4.0,0.48,0.103768889909,0.799218268985
5.0,0.48,0.106295546026,0.7884642009
1.0,0.49,0.106465529427,0.823195581837
2.0,0.49,0.102722229099,0.809936661031
3.0,0.49,0.103327559311,0.807447859
4.0,0.49,0.102774470082,0.800292831891
5.0,0.49,0.105259832943,0.813267303406
1.0,0.5,0.105213089041,0.798009160393
2.0,0.5,0.11185360613,0.819846608175
3.0,0.5,0.101411613412,0.80287110902
4.0,0.5,0.106464097148,0.80806320967
5.0,0.5,0.104144670022,0.798691732233
1.0,0.51,0.10082037,0.804449974096
2.0,0.51,0.103033946541,0.800299656724
3.0,0.51,0.106663441103,0.797241074151
4.0,0.51,0.101509286017,0.802382009801
5.0,0.51,0.104266769805,0.80949786556
1.0,0.52,0.103928034029,0.7895377909
2.0,0.52,0.103988594923,0.79202119687
3.0,0.52,0.102572491341,0.807670357149
4.0,0.52,0.107372202259,0.805691670691
5.0,0.52,0.104627594901,0.81181528969
1.0,0.53,0.102558847537,0.798190202294
2.0,0.53,0.104311078322,0.803138973617
3.0,0.53,0.102977242572,0.802049615276
4.0,0.53,0.102629381113,0.798961747045
5.0,0.53,0.107928782066,0.801158622205
1.0,0.54,0.102818342511,0.800469230284
2.0,0.54,0.111620592533,0.823980237386
3.0,0.54,0.105123755087,0.788263959066
4.0,0.54,0.105432497152,0.804641339864
5.0,0.54,0.10967899637,0.811109766868
1.0,0.55,0.101975972965,0.819522252308
2.0,0.55,0.101180453288,0.801480581058
3.0,0.55,0.112379319767,0.804453706759
4.0,0.55,0.102967790805,0.797056950237
5.0,0.55,0.104762651969,0.79557314946
1.0,0.56,0.103051233447,0.805858513305
2.0,0.56,0.104538188409,0.808594489372
3.0,0.56,0.10804236141,0.818656535071
4.0,0.56,0.108042764293,0.802094630838
5.0,0.56,0.106014926771,0.811870294485
1.0,0.57,0.103539379536,0.797509796764
2.0,0.57,0.102461277934,0.807183243667
3.0,0.57,0.10105896458,0.789351069704
4.0,0.57,0.104845643011,0.79459651588
5.0,0.57,0.103712795339,0.819790177095
1.0,0.58,0.107567433278,0.804817152052
2.0,0.58,0.105849997449,0.816980159007
3.0,0.58,0.103543792883,0.821602990579
4.0,0.58,0.102360987065,0.786511013391
5.0,0.58,0.1042209377,0.801519824539
1.0,0.59,0.101469889185,0.817781641534
2.0,0.59,0.107227027361,0.813133855125
3.0,0.59,0.104156490922,0.795043595688
4.0,0.59,0.106933818118,0.825679408642
5.0,0.59,0.102642813454,0.807192322058
1.0,0.6,0.105319072623,0.805377513706
2.0,0.6,0.103880828111,0.806123633515
3.0,0.6,0.103025009698,0.784490050428
4.0,0.6,0.107653737827,0.805512239825
5.0,0.6,0.109671114757,0.819101752701
1.0,0.61,0.103546115703,0.80626290643
2.0,0.61,0.102394156471,0.803888238707
3.0,0.61,0.103729952093,0.785046879172
4.0,0.61,0.102301970716,0.819901128914
5.0,0.61,0.103810163083,0.804781384475
1.0,0.62,0.105996254637,0.791687318952
2.0,0.62,0.105287688943,0.814373882374
3.0,0.62,0.102776321442,0.816705361415
4.0,0.62,0.104178156263,0.792384367806
5.0,0.62,0.099667435012,0.799812945065
1.0,0.63,0.103366912288,0.814015608111
2.0,0.63,0.105625656567,0.809003402654
3.0,0.63,0.102320722631,0.806444849654
4.0,0.63,0.102344605926,0.811048605732
5.0,0.63,0.102557810816,0.806826793946
1.0,0.64,0.104943964124,0.812699008285
2.0,0.64,0.11070525596,0.793881517237
3.0,0.64,0.103833592613,0.814095600159
4.0,0.64,0.102209710046,0.806141071502
5.0,0.64,0.10480746023,0.813011880998
1.0,0.65,0.106084858275,0.814802400256
2.0,0.65,0.104627448024,0.804644398423
3.0,0.65,0.106027455746,0.797510666932
4.0,0.65,0.101276146758,0.801771256166
5.0,0.65,0.101006229164,0.80505247611
1.0,0.66,0.106828427945,0.813250340637
2.0,0.66,0.10206747175,0.813343413876
3.0,0.66,0.104899968236,0.802934176491
4.0,0.66,0.102810650351,0.797583090474
5.0,0.66,0.103453005348,0.814864339725
1.0,0.67,0.103430713834,0.797978954493
2.0,0.67,0.105311103434,0.799697913083
3.0,0.67,0.107991201285,0.808487054027
4.0,0.67,0.108944801805,0.801136433267
5.0,0.67,0.103627541496,0.795460584912
1.0,0.68,0.10362095974,0.805955122605
2.0,0.68,0.101937596019,0.799844414273
3.0,0.68,0.103833062471,0.814398501823
4.0,0.68,0.103965294493,0.807888985157
5.0,0.68,0.106507107276,0.797183307087
1.0,0.69,0.104130363039,0.806669676198
2.0,0.69,0.102607751943,0.810564120788
3.0,0.69,0.101591836613,0.786033786249
4.0,0.69,0.104099414305,0.806817821708
5.0,0.69,0.106515677881,0.807207506054
1.0,0.7,0.104892435977,0.810320922258
2.0,0.7,0.104075024087,0.794346292448
3.0,0.7,0.107776646588,0.816090692557
4.0,0.7,0.104847400099,0.795146704346
5.0,0.7,0.10181819768,0.801177736213
