run,r_neighbor,n_iter,stress,correlation
5.0,0.32,5000.0,0.0814897312306,0.817062384943
1.0,0.33,5000.0,0.0954345837116,0.836155390049
2.0,0.33,5000.0,0.0872438226546,0.795571387433
3.0,0.33,5000.0,0.0831998823803,0.821823456764
4.0,0.33,5000.0,0.0855692879755,0.830288453984
5.0,0.33,5000.0,0.0891442124011,0.808582065501
1.0,0.34,5000.0,0.0866233194299,0.84404198746
2.0,0.34,5000.0,0.0880192383065,0.824985785144
3.0,0.34,5000.0,0.0853113137325,0.814636711943
4.0,0.34,5000.0,0.0860523828316,0.823441582043
5.0,0.34,5000.0,0.0919343532211,0.818447986739
1.0,0.35,5000.0,0.0936438724724,0.831381208719
2.0,0.35,5000.0,0.0990885195468,0.791664745958
3.0,0.35,5000.0,0.0931271198333,0.82946413847
4.0,0.35,5000.0,0.0941682073375,0.820591518579
5.0,0.35,5000.0,0.0964406111297,0.801317260752
1.0,0.36,5000.0,0.097843670293,0.836828158133
2.0,0.36,5000.0,0.0987378997031,0.78384722974
3.0,0.36,5000.0,0.0967021943911,0.823811386968
4.0,0.36,5000.0,0.0997361934773,0.813768931463
5.0,0.36,5000.0,0.105630758734,0.832361539324
1.0,0.37,5000.0,0.100948224428,0.800858749451
2.0,0.37,5000.0,0.0939893240741,0.824153635708
3.0,0.37,5000.0,0.0983112689377,0.817870759116
4.0,0.37,5000.0,0.100600279398,0.793747536389
5.0,0.37,5000.0,0.0996407547021,0.818565181052
1.0,0.38,5000.0,0.101330826828,0.814279879866
2.0,0.38,5000.0,0.103072556497,0.829291193826
3.0,0.38,5000.0,0.0968801224903,0.79585236405
4.0,0.38,5000.0,0.101406396588,0.824489765909
5.0,0.38,5000.0,0.103069101575,0.82892042607
1.0,0.39,5000.0,0.105271458475,0.770443592384
2.0,0.39,5000.0,0.107496957331,0.76508134968
3.0,0.39,5000.0,0.105228142705,0.79353000653
4.0,0.39,5000.0,0.0997772715528,0.828298005927
5.0,0.39,5000.0,0.102170931614,0.804798107207
1.0,0.4,5000.0,0.105513162235,0.790904864738
2.0,0.4,5000.0,0.103601578548,0.800446742822
3.0,0.4,5000.0,0.103528620013,0.81433159567
4.0,0.4,5000.0,0.103155767309,0.824510843013
5.0,0.4,5000.0,0.107372766033,0.800195678989
1.0,0.41,5000.0,0.0998372005329,0.791829173282
2.0,0.41,5000.0,0.101965927,0.815290121654
3.0,0.41,5000.0,0.102340697251,0.822375130971
4.0,0.41,5000.0,0.100131692944,0.828732654662
5.0,0.41,5000.0,0.107612506276,0.786228607448
1.0,0.42,5000.0,0.106376708616,0.801350733246
2.0,0.42,5000.0,0.108511958624,0.760951398953
3.0,0.42,5000.0,0.108277212712,0.831667802523
4.0,0.42,5000.0,0.102708037039,0.800145926309
5.0,0.42,5000.0,0.101483400318,0.800728435609
1.0,0.43,5000.0,0.103799382259,0.80178698272
2.0,0.43,5000.0,0.107077525097,0.783754883331
3.0,0.43,5000.0,0.103364093333,0.819227339097
4.0,0.43,5000.0,0.102746807496,0.808940812092
5.0,0.43,5000.0,0.104679978034,0.834549480427
1.0,0.44,5000.0,0.103029833928,0.826465741709
2.0,0.44,5000.0,0.0987622719086,0.801882130638
3.0,0.44,5000.0,0.102385816013,0.780112893043
4.0,0.44,5000.0,0.104289538983,0.812415772017
5.0,0.44,5000.0,0.102070881055,0.81687340934
1.0,0.45,5000.0,0.105001105448,0.811152788766
2.0,0.45,5000.0,0.100376781291,0.844341990235
3.0,0.45,5000.0,0.102144806651,0.791809261259
4.0,0.45,5000.0,0.0972051422559,0.84328439755
5.0,0.45,5000.0,0.100210260691,0.798568485753
1.0,0.46,5000.0,0.0994346574536,0.819738621809
2.0,0.46,5000.0,0.103795062364,0.815369240559
3.0,0.46,5000.0,0.107511439654,0.77745952452
4.0,0.46,5000.0,0.105063245028,0.825614483573
5.0,0.46,5000.0,0.102938565541,0.800307728285
1.0,0.47,5000.0,0.102708954895,0.805092718158
2.0,0.47,5000.0,0.0983508446337,0.822906023203
3.0,0.47,5000.0,0.10540251591,0.807878101375
4.0,0.47,5000.0,0.106982720869,0.795319321942
5.0,0.47,5000.0,0.110501589854,0.804448082122
1.0,0.48,5000.0,0.105060385664,0.812294060935
2.0,0.48,5000.0,0.101380726529,0.802117641822
3.0,0.48,5000.0,0.0994747043239,0.802520790798
4.0,0.48,5000.0,0.105149429106,0.79316041606
5.0,0.48,5000.0,0.1035727782,0.824118503947
1.0,0.49,5000.0,0.107042202138,0.819518672831
2.0,0.49,5000.0,0.110327468465,0.76392410842
3.0,0.49,5000.0,0.101406512858,0.769370629053
4.0,0.49,5000.0,0.107019572398,0.742484180177
5.0,0.49,5000.0,0.0987719456849,0.823195853011
1.0,0.5,5000.0,0.101761864366,0.826468623581
2.0,0.5,5000.0,0.106094337188,0.801224147113
3.0,0.5,5000.0,0.105701004637,0.813018066378
4.0,0.5,5000.0,0.103635002672,0.806673080305
5.0,0.5,5000.0,0.106381081336,0.75888098924
